Date,Buy-and-Hold SPY,Regime-Based Allocation_econ,Regime-Based Allocation_market
2018-04-01,2665987.995906988,4144465.2711761966,11811168.195389988
2018-05-01,2730795.7482048366,4245213.466259514,12098286.991097335
2018-06-01,2734222.023241826,4250539.85104523,12113466.470827805
2018-07-01,2848248.002228555,4427801.230559279,12618637.543812355
2018-08-01,2939163.787922304,4569136.194177993,13021423.167038532
2018-09-01,2943315.305227204,4575590.018921112,13039815.698898964
2018-10-01,2752322.796988434,4278678.773009399,12193658.611046039
2018-11-01,2803376.411404909,4358045.19635487,12419842.235196386
2018-12-01,2541700.570093767,3951251.7530667335,11260535.674498763
2019-01-01,2761234.4156792783,4292532.509121816,12233139.894312255
2019-02-01,2850742.7323928354,4431679.463523076,12629689.985765459
2019-03-01,2889613.6532061878,4492107.035446471,12801900.432452032
2019-04-01,3020909.5174669884,4696215.662534579,13383582.547496904
2019-05-01,2828263.319207604,4396733.6395337535,12530099.090955706
2019-06-01,3010429.5516178985,4679923.8207966015,13337152.991356524
2019-07-01,3070809.2826192616,4773788.346294203,13604654.25525733
2019-08-01,3019393.9934110558,4693859.6741253715,13376868.297636718
2019-09-01,3063994.2421097923,4763193.887970865,13574461.475005014
2019-10-01,3146185.9569352414,4890966.671717629,13938596.71100807
2019-11-01,3260071.8772728415,5068010.32024109,14443147.279975114
2019-12-01,3338382.2124827425,5189749.227224122,14790086.77933578
2020-01-01,3353440.065824131,5213157.716057402,
2020-02-01,3087962.165582022,4800453.705571459,
2020-03-01,2686567.498031184,,
2020-04-01,3045520.265402544,,16766192.938215366
2020-05-01,3190625.4995181467,5029173.562313567,17565026.02403151
2020-06-01,3232981.024461921,5095935.796332356,17798201.587259244
2020-07-01,3438443.9656144045,5419793.545176684,18929315.818265814
2020-08-01,3678437.0418305704,5798078.879581152,20250525.289562576
2020-09-01,3526586.2803433947,5558726.4907771945,19414556.73803747
2020-10-01,3452420.5799494926,5441823.965016084,19006259.851515956
2020-11-01,3827963.930940425,6033768.300881096,21073700.462864403
2020-12-01,3952933.4114037063,6230749.490725191,21761682.2322318
2021-01-01,3929329.9157187687,6193544.849661928,21631740.308296617
2021-02-01,4038585.985772871,6365758.022007397,22233216.637647565
2021-03-01,4208153.306063773,6633035.859650251,23166718.358292874
2021-04-01,4445320.432337313,7006866.834637729,24472370.414815538
2021-05-01,4474508.723640721,7052874.422483553,24633057.74600461
2021-06-01,4559941.746613953,7187536.889310322,25103383.477452293
2021-07-01,4686543.75344448,7387091.323318351,25800352.628174823
2021-08-01,4826014.982145973,7606930.667106856,26568169.39705458
2021-09-01,4586402.1634415705,7229244.707660469,25249053.31875896
2021-10-01,4923925.269247278,7761260.226449616,27107184.941566005
2021-11-01,4884362.658299405,7698900.279453272,26889384.92367517
2021-12-01,5092362.140736241,8026756.211841519,28034463.317407012
2022-01-01,4840731.8081623325,7630127.834036606,
2022-02-01,4697848.2414638745,7404909.845827877,
2022-03-01,4859345.843518711,7659467.916260737,
2022-04-01,4446616.404997316,7008909.591282204,
2022-05-01,4456653.826810092,7024730.920492486,
2022-06-01,4071568.2490827884,6417745.798914638,
2022-07-01,4465716.344070083,7039015.571642814,
2022-08-01,4283506.235793047,6751809.737090449,
2022-09-01,3871609.9225530815,6102564.612811933,
2022-10-01,4203472.869486856,6625658.394668457,30437494.562374573
2022-11-01,4437151.262136634,6993990.307823315,32129568.004135676
2022-12-01,4162332.7920829454,6560811.990832428,30139597.81814506
2023-01-01,4444406.093686858,7005425.62263445,32182100.49398801
2023-02-01,4332662.3480196,6829291.290495331,31372960.110136367
2023-03-01,4476223.151625887,7055576.762792304,32412488.92709526
2023-04-01,4565088.12768945,7195648.792023563,33055963.337351285
